Iso3_code;Country;Region;Subregion;Indicator;Dimension;Category;Sex;Age;Year;Unit of measurement;VALUE;Source
ABW;Aruba;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2005;Rate per 100,000 population;230.9353381;External
ABW;Aruba;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2007;Rate per 100,000 population;273.6451109;External
ABW;Aruba;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2011;Rate per 100,000 population;241.0583048;External
ABW;Aruba;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;232.6370378;External
ABW;Aruba;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;163.8143694;External
AFG;Afghanistan;Asia;Southern Asia;Persons held;Total;Total;Total;Total;2004;Rate per 100,000 population;21.28064942;WPB-ICPR/UNGASS
AFG;Afghanistan;Asia;Southern Asia;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;29.15288878;WPB-ICPR/UNGASS
AFG;Afghanistan;Asia;Southern Asia;Persons held;Total;Total;Total;Total;2007;Rate per 100,000 population;39.07670924;WPB-ICPR/UNGASS
AFG;Afghanistan;Asia;Southern Asia;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;45.09008476;WPB-ICPR/UNGASS
AFG;Afghanistan;Asia;Southern Asia;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;62.64409761;WPB-ICPR/UNGASS
AFG;Afghanistan;Asia;Southern Asia;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;78.98559557;WPB-ICPR/UNGASS
AFG;Afghanistan;Asia;Southern Asia;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;79.4676688;WPB-ICPR/UNGASS
AFG;Afghanistan;Asia;Southern Asia;Persons held;Total;Total;Total;Total;2018;Rate per 100,000 population;82.71834854;WPB-ICPR/UNGASS
AGO;Angola;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2003;Rate per 100,000 population;33.15403044;WPB-ICPR/Country Economy
AGO;Angola;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2005;Rate per 100,000 population;42.70952521;WPB-ICPR/Country Economy
AGO;Angola;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2009;Rate per 100,000 population;71.87884131;WPB-ICPR/Country Economy
AGO;Angola;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2011;Rate per 100,000 population;82.15300491;WPB-ICPR/Country Economy
AGO;Angola;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;83.15720309;WPB-ICPR/Country Economy
AGO;Angola;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;79.1299073;WPB-ICPR/Country Economy
AGO;Angola;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2015;Rate per 100,000 population;84.90057875;WPB-ICPR/Country Economy
AGO;Angola;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;79.42104289;WPB-ICPR/Country Economy
AGO;Angola;Africa;Sub-Saharan Africa;Persons held;Total;Total;Total;Total;2020;Rate per 100,000 population;79.10846464;WPB-ICPR/Country Economy
AIA;Anguilla;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2004;Rate per 100,000 population;335.2412101;WPB-ICPR
AIA;Anguilla;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;355.450237;WPB-ICPR
AIA;Anguilla;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;337.0098039;WPB-ICPR
AIA;Anguilla;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;431.6760941;WPB-ICPR
AIA;Anguilla;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;550.9641873;WPB-ICPR
AIA;Anguilla;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;425.10982;WPB-ICPR
AIA;Anguilla;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;318.6698995;WPB-ICPR
AIA;Anguilla;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2017;Rate per 100,000 population;377.02221;WPB-ICPR
AIA;Anguilla;Americas;Latin America and the Caribbean;Persons held;Total;Total;Total;Total;2018;Rate per 100,000 population;373.184964;WPB-ICPR
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2003;Rate per 100,000 population;82.13553679;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2004;Rate per 100,000 population;94.8180823;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2005;Rate per 100,000 population;112.219411;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;123.9952322;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2007;Rate per 100,000 population;150.1321855;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;163.7202462;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2009;Rate per 100,000 population;156.9771588;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;157.9699521;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2011;Rate per 100,000 population;159.0861985;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;158.4713724;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;172.1200033;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;196.4225477;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2015;Rate per 100,000 population;206.9175001;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;208.9434446;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2017;Rate per 100,000 population;196.7291098;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2018;Rate per 100,000 population;184.4082096;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2019;Rate per 100,000 population;175.1180962;CTS/External
ALB;Albania;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2020;Rate per 100,000 population;160.3308083;CTS/External
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2003;Rate per 100,000 population;83.35610823;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2004;Rate per 100,000 population;80;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2006;Rate per 100,000 population;37.03932342;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2007;Rate per 100,000 population;85.87116906;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2008;Rate per 100,000 population;87.04984498;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2009;Rate per 100,000 population;65.11881223;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2010;Rate per 100,000 population;52.0993677;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2011;Rate per 100,000 population;58.50885991;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2012;Rate per 100,000 population;43.6750094;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2013;Rate per 100,000 population;53.23758821;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2014;Rate per 100,000 population;66.90820951;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2015;Rate per 100,000 population;52.56882028;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2016;Rate per 100,000 population;59.51225823;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2017;Rate per 100,000 population;55.84633168;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2018;Rate per 100,000 population;63.62975275;External/WPB-ICPR/CTS
AND;Andorra;Europe;Southern Europe;Persons held;Total;Total;Total;Total;2019;Rate per 100,000 population;63.51593083;External/WPB-ICPR/CTS
