Country Name;Country Code;Indicator Name;Indicator Code;Year;Value
Aruba;ABW;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Africa Eastern and Southern;AFE;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;7.72484428642947
Afghanistan;AFG;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.8059997558594
Africa Western and Central;AFW;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.92142316396605
Angola;AGO;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.03000020980835
Albania;ALB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;19.0279998779297
Andorra;AND;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Arab World;ARB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;12.5961014133704
United Arab Emirates;ARE;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.25
Argentina;ARG;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;15
Armenia;ARM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;11.0480003356934
American Samoa;ASM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Antigua and Barbuda;ATG;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Australia;AUS;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.28000020980835
Austria;AUT;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.69000005722046
Azerbaijan;AZE;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;11.7799997329712
Burundi;BDI;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;1.5900000333786
Belgium;BEL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;6.59000015258789
Benin;BEN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;0.851000010967255
Burkina Faso;BFA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.60500001907349
Bangladesh;BGD;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.26999998092651
Bulgaria;BGR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;16.2199993133545
Bahrain;BHR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;1.08399999141693
Bahamas; The;BHS;Unemployment, total (% of total labor force) (modeled ILO estimate);2000;7.44999980926514
Bosnia and Herzegovina;BIH;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;25.7830009460449
Belarus;BLR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;12.2620000839233
Belize;BLZ;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.8509998321533
Bermuda;BMU;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Bolivia;BOL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Brazil;BRA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;7.72484428642947
Barbados;BRB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.8059997558594
Brunei Darussalam;BRN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.92142316396605
Bhutan;BTN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.03000020980835
Botswana;BWA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;19.0279998779297
Central African Republic;CAF;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Canada;CAN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;12.5961014133704
Central Europe and the Baltics;CEB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.26
Switzerland;CHE;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;2.67000007629395
Channel Islands;CHI;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.66200017929077
Chile;CHL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.4899997711182
China;CHN;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;3.25999999046326
Cote d'Ivoire;CIV;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.58400011062622
Cameroon;CMR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;7.59100008010864
Congo; Dem. Rep.;COD;Unemployment, total (% of total labor force) (modeled ILO estimate);2000;2.90100002288818
Congo; Rep.;COG;Unemployment, total (% of total labor force) (modeled ILO estimate);2000;19.9930000305176
Colombia;COL;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;20.5200004577637
Comoros;COM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.68100023269653
Cabo Verde;CPV;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;10.9829998016357
Costa Rica;CRI;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.07999992370605
Caribbean small states;CSS;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;13.3760884410962
Cuba;CUB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;5.44999980926514
Curacao;CUW;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Cayman Islands;CYM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
Cyprus;CYP;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;4.96999979019165
Czechia;CZE;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;8.76000022888184
Germany;DEU;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;7.92000007629395
Djibouti;DJI;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;28.3449993133545
Dominica;DMA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;2000;
